Club,Compensation,Last Name
HOU,87666.67,Deric
SJ,88000,Gargan
CHV,88333.33,Burling
DC,89218.83,Shanosky
POR,89250,Alhassan
DC,89750,Hamid
DAL,90000,Benitez
DAL,90000,Seitz
SJ,90000,Martinez
TOR,90000,Hall
NE,90833.33,Simms
DC,91000,White
CHI,91103.25,Paladini
DC,91650,Townsend
KC,92000,Sapong
CHV,93000,Casillas
PHI,93333.33,Lahoud
CLB,93886.67,Gruenebaum
HOU,94588,Carr
NE,94950,Nyassi
HOU,95000,Driver
LA,95000,Ribeiro
RSL,95250,Saunders
SEA,95600,Zavaleta
KC,96250,Opara
DC,96440.63,Neal
KC,96750,Sinovic
LA,97500,Hoffman
RSL,97500,Martinez
COL,97962.5,Sturgis
SJ,98000,Garza
COL,98650,Cascio
NE,99875,Imbongo
TOR,99996,Bostock
CHV,100000,Velazquez
DC,100000,Woolard
NY,100000,Kimura
SJ,100000,Bernardez
SJ,100219.15,Salinas
LA,101000,McBean
NE,104375,Goncalves
KC,104833.33,Peterson
DC,105400,DeLeon
TOR,105400,Silva
HOU,105750,Ashe
LA,106005,Stephens
HOU,108406.67,Weaver
DC,110000,Saragosa
MTL,110000,Iapichino
PHI,110500,Williams
NE,110709.17,Barrett
HOU,111000,Johnson
VAN,112500,Harvey
COL,113000,Brown
CHI,113125,Thompson
TOR,114700,Braun
CHV,116000,Rivera
CHV,116666,Vilchez
DAL,116875,Watson
RSL,117000,Schuler
NE,118370,McCarthy
KC,118750,Rosell
CHI,119950,Alex
CHV,120000,Avila
CHV,120000,de
RSL,120000,Garcia
SEA,120000,Traore
TOR,120000,Dunfield
VAN,120000,Rusin
HOU,120625,Brunner
KC,120666.67,Myers
CLB,122015,Oduro
SJ,122475,Bingham
NY,123745,Miller
CHI,125000,Puppo
NE,125000,Dorman
PHI,125093,Torres
PHI,126500,Cruz
MTL,126625,Camara
CLB,127000,Trapp
NE,127196,Fagundez
CLB,130000,Tchani
NY,130000,Sam
DAL,131000,Luccin
CHI,131245,Anibaba
CLB,131666.67,Viana
CHV,132000,Courtois
CHV,132187.5,Jazic
DAL,135000,Jacobson
SEA,135000,Gonzalez
PHI,136170,Farfan
VAN,136868.67,Salgado
DAL,136997.5,Loyd
MTL,137500,Mapp
MTL,137500,Warner
COL,138333.33,LaBrocca
NE,138840,Bengtson
SJ,139562.5,Morrow
CHV,140000,Mejia
LA,142500,DeLaGarza
NE,143345,Soares
CHV,143750,Minda
POR,144704,Johnson
HOU,145500,Sarkodie
DC,145750,Riley
KC,147000,Lopez
MTL,147625,Nyassi
MTL,148000,Pisanu
DC,150000,Thorrington
LA,150000,Cudicini
NY,150000,Espindola
POR,150000,Piquionne
POR,150000,Wallace
SEA,150000,Ianni
MTL,152000,Valentin
SJ,152006,Ballouchy
MTL,152500,Martins
CHI,153000,Johnson
CHI,155000,Segares
PHI,155000,MacMath
DAL,155100,Zimmerman
TOR,155150,Earnshaw
SEA,156333.33,Johnson
CHV,156363.63,Bowen
LA,156750,Dunivant
NE,161000,Farrell
HOU,161250,Boniek
HOU,161608.33,Moffat
RSL,161666.67,Grabavoy
MTL,162333.25,Bernier
CHI,164433.33,Dos
HOU,165000,Bruin
TOR,165000,Califf
DAL,165375,Goncalves
RSL,166800,Beltran
POR,166833.33,Harrington
RSL,167598,Wingert
NE,167666.67,Reis
HOU,169500,Taylor
COL,170335,Mullan
NE,171000,Rowe
COL,171250,Mwanga
